Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39,0,0,0,81.116844,326.674253,0.258451,105.408855,446.805964,0.238947,89.727345,363.630602,0.254114,89.293454,360.02488,0.250582,88.34167,378.214256,0.238513,100.000501,410.934677,0.245323,122.590433,518.023815,0.239272,138.021222,597.02775,0.232059,103.778702,439.437334,0.238404,105.119718,465.703269,0.226078,69.558038,334.434897,0.213283,73.301852,323.139141,0.232631,65.452476,302.773762,0.218197,121.426728,497.389784,0.248983,132.623899,539.292226,0.249797,144.148499,596.949078,0.243555,137.58296,522.350794,0.26652,164.436445,662.334819,0.249409,62.720598,248.264686,0.304137,89.837878,372.200733,0.243685,65.878947,304.686847,0.230055,106.876205,433.65352,0.252708,188.132909,709.334417,0.265237,112.746037,400.549266,0.286474,84.961668,332.985812,0.259336,100.512563,335.100301,0.304994,95.293101,345.549609,0.278651,90.605946,325.384744,0.281416,93.908474,326.692821,0.293368,50.770466,166.398216,0.341278,95.455162,331.27798,0.294116,110.445925,410.261346,0.272057,148.924925,581.523566,0.258739,97.733678,355.460054,0.282057,75.481166,274.247442,0.290658,109.259064,469.983079,0.236722,80.183343,346.923948,0.238959,84.156812,330.546182,0.260269,99.91796,434.946745,0.230896,75.05393,320.096625,0.236691,99.407824,388.488578,0.258244,126.753703,481.202246,0.263028,120.415281,444.987827,0.27353,111.839254,376.75474,0.304073,93.967,346.839825,0.275773,116.462812,422.538574,0.277726,142.278944,510.375909,0.280887,130.180091,457.146903,0.287836,81.460942,262.115255,0.347595,95.531305,338.49959,0.285828,90.511629,314.412443,0.292061,121.28062,432.307214,0.292232,96.150523,336.331616,0.295859,82.966682,307.612675,0.271991,76.367441,266.645755,0.291965,78.560023,280.447177,0.283339,79.714604,289.795915,0.2795,78.67626,287.944937,0.276511,62.919586,225.451828,0.282079
30.39,0,0,0,79.502904,319.112789,0.257693,103.345282,439.078068,0.238185,89.014641,360.492106,0.253666,88.419475,357.532803,0.249629,87.182309,373.982827,0.23764,98.831162,407.836889,0.244064,121.720437,513.986357,0.239324,136.459382,590.408544,0.231899,102.864242,434.840695,0.239106,104.018714,459.347319,0.226958,68.510424,329.606915,0.212917,72.810031,322.269563,0.231382,65.446135,302.692791,0.21821,120.157428,491.43597,0.248483,131.235729,533.742873,0.24901,142.292591,589.862856,0.243165,136.504549,518.417653,0.266244,161.779235,648.312096,0.250605,62.142409,246.009516,0.300354,93.636423,388.509841,0.242479,64.867386,301.270415,0.227169,105.748862,429.759294,0.251654,185.085497,697.827754,0.264862,111.650362,396.246125,0.286337,84.136631,330.018343,0.258903,99.513769,331.610451,0.304666,93.925908,340.935897,0.278242,89.837523,323.373083,0.280617,93.109675,325.185652,0.291415,50.801529,167.022111,0.335863,94.677131,328.971241,0.292795,109.596269,406.815496,0.272173,146.969466,573.504692,0.25877,97.24304,353.733089,0.282069,75.546049,270.587229,0.294209,108.731856,463.654475,0.237555,79.58946,344.809768,0.237452,83.774173,328.850141,0.259609,98.85648,430.525811,0.230594,74.712603,317.819306,0.237138,98.396716,383.836283,0.258561,125.566558,475.98716,0.263385,119.653714,440.337337,0.274527,110.758555,372.189802,0.304293,93.676584,344.931297,0.276305,114.984307,418.14774,0.276832,140.328656,503.701014,0.280892,128.780576,452.147634,0.2878,80.719062,259.496515,0.345383,95.238919,338.053077,0.285259,89.991244,313.584402,0.291145,120.089043,427.452697,0.292983,95.410319,334.657521,0.294229,82.149054,304.841285,0.271747,75.760689,265.068448,0.291035,77.701369,277.519583,0.283027,78.652266,286.507649,0.278738,78.314815,286.180505,0.276937,62.280071,223.919887,0.280738
33.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.22,0,0,0,139.405087,125.171974,1.154497,166.798149,234.99511,0.738116,143.372939,152.942586,0.967908,139.274956,171.197523,0.828231,135.236792,179.965653,0.744434,155.413022,194.566325,0.800594,185.682154,268.414894,0.712925,176.795917,409.284411,0.441815,160.418884,240.259085,0.658516,167.154241,256.506644,0.65434,122.363448,141.761185,0.873299,113.001557,150.810989,0.760533,107.299791,147.866337,0.739527,168.730646,250.046898,0.688672,194.460976,226.030706,0.871021,220.548789,276.471489,0.812718,200.545487,237.412635,0.860016,264.673969,301.048208,0.886793,88.773319,111.947867,0.932334,136.621192,168.954431,0.820051,109.367057,141.097709,0.814502,154.416683,203.147352,0.775498,258.51735,358.888625,0.727234,166.429607,164.984,1.026752,132.367093,146.605393,0.933114,139.956883,125.861458,1.133775,135.858134,146.687279,0.954301,119.908956,136.357897,0.958998,120.095492,139.560002,0.907946,63.499084,65.385631,1.095205,122.620357,121.199646,1.034267,140.188877,198.489095,0.728436,195.267,246.5749,0.798489,121.085225,140.964857,0.898604,102.899684,124.311015,0.878787,152.2089,197.2446,0.799611,103.701627,164.136628,0.675892,101.272988,136.324166,0.780705,125.13827,209.591694,0.604278,91.461175,152.309535,0.62838,121.42635,156.571623,0.784436,153.562807,221.746033,0.70361,137.194489,190.530015,0.729711,124.453788,133.433619,0.949628,103.847111,143.09299,0.744404,133.853341,161.539255,0.835324,165.136741,199.579501,0.835307,158.289188,158.993206,1.016914,90.958202,88.211606,1.118511,106.525237,163.393436,0.675077,110.474253,125.645672,0.909961,146.960909,194.41597,0.821522,123.055575,124.733895,1.042768,102.841914,121.468055,0.868044,95.936518,104.658717,0.937649,101.703324,113.289803,0.9223,106.93526,119.998678,1.058471,99.716385,121.05217,0.850982,77.382505,87.253838,0.918278
40.22,0,0,0,142.061289,122.479996,1.204023,174.060167,222.646815,0.807227,147.953941,149.466301,1.02399,144.690843,166.674762,0.884493,139.23023,174.96959,0.791685,161.85722,187.263476,0.867426,194.353895,258.405993,0.772123,187.065331,383.083075,0.497555,165.440162,234.310619,0.696685,173.687631,249.096432,0.700792,123.904198,140.3202,0.892906,114.990347,148.742724,0.785613,109.060364,145.468962,0.763075,172.227624,243.486013,0.721631,198.977232,222.095357,0.907246,226.354727,269.964524,0.851641,205.060397,233.118412,0.895933,270.683322,295.886008,0.922613,90.093553,110.425696,0.949709,139.44293,167.142974,0.84652,111.791192,138.26923,0.851635,157.481455,200.184228,0.801089,268.376766,343.087682,0.793137,171.706052,160.433938,1.09047,138.217371,141.384808,1.012307,143.082785,123.31135,1.184978,141.227639,139.392724,1.041036,124.565951,131.02681,1.033963,124.801398,135.560226,0.968084,65.743003,64.124492,1.148181,125.603624,118.643002,1.076853,147.636848,191.283138,0.79613,200.078647,242.178514,0.834053,123.777955,138.219303,0.934751,105.340126,123.214843,0.908679,155.680881,192.637127,0.837779,106.551769,160.512915,0.712154,104.85421,133.745038,0.822324,129.03071,203.119459,0.644344,96.708449,142.883738,0.698654,126.704287,152.529056,0.842365,161.542632,211.291743,0.776701,143.182365,183.514683,0.7895,127.923372,130.049992,1.001234,107.287714,140.625459,0.782841,137.929219,158.068878,0.880584,169.086585,195.640684,0.873431,162.069432,156.100377,1.058676,93.395601,86.606882,1.17612,111.331194,157.208352,0.738073,114.350922,123.774844,0.956997,153.385644,186.205372,0.886195,127.983983,121.142627,1.112028,106.087,118.607415,0.920727,99.200145,102.302956,0.996701,105.093678,108.917165,0.994021,111.628794,115.929731,1.127416,103.38786,116.645457,0.914604,79.997291,85.138183,0.978211
42.22,0,0,0,143.03107,122.42439,1.207437,177.723835,219.682269,0.832961,149.984243,149.821888,1.036851,147.689545,166.273334,0.905061,140.911283,173.819416,0.806399,165.43856,185.548715,0.896908,199.335338,255.15272,0.79962,193.294064,370.193497,0.531084,168.075114,232.977176,0.712427,177.351805,247.821406,0.719729,123.94021,140.880535,0.888849,115.759587,148.820523,0.790756,109.889164,145.501173,0.768732,173.746725,241.946102,0.731619,200.530912,222.088181,0.913516,228.095179,269.122157,0.859515,206.828592,233.36657,0.901216,273.505555,295.462495,0.934114,90.743927,110.985873,0.937673,140.258713,168.132224,0.848811,112.525793,138.645951,0.84641,158.741401,201.150003,0.801144,271.924498,339.796146,0.812249,174.059108,160.01927,1.106632,140.26217,140.497217,1.033292,144.256171,123.35338,1.191725,143.179699,138.233384,1.062935,126.59065,130.06653,1.050492,127.276349,134.85423,0.990081,67.177188,64.553405,1.166122,127.400378,118.710818,1.091523,151.504599,189.272664,0.824918,202.439281,241.928006,0.845967,124.913329,138.532275,0.937977,106.56877,123.740044,0.913132,157.093789,192.826436,0.842136,107.493248,160.565095,0.717931,106.924684,133.704659,0.834766,130.804771,202.143432,0.657102,99.474015,140.647935,0.726261,129.703578,151.783278,0.867323,166.032341,208.842142,0.807253,146.223389,181.741247,0.813124,129.670621,130.009142,1.015833,109.109111,140.623972,0.795767,139.894216,158.072167,0.893489,170.958414,195.205913,0.883909,163.908609,156.22361,1.068683,94.643696,87.236066,1.172468,114.207512,155.201997,0.770131,116.473761,124.391704,0.968147,157.10529,184.278736,0.91645,130.531467,120.808662,1.135291,107.802343,118.759827,0.935286,100.706696,102.462512,1.00882,106.694377,108.80349,1.009893,113.870037,115.684684,1.145683,105.102089,116.194365,0.935832,80.986154,85.296163,0.988988
44.22,0,0,0,141.963422,121.647965,1.208605,177.568484,218.153299,0.837342,149.573985,149.950337,1.034262,147.405863,165.761498,0.906376,140.469196,172.882748,0.81173,165.897058,184.434337,0.905922,199.905083,253.224475,0.806333,195.402268,362.340466,0.547763,167.545467,232.016805,0.713745,177.550481,246.792395,0.723756,122.404687,141.265866,0.875324,115.001701,148.54375,0.787555,109.520512,145.688415,0.76513,172.98764,241.035768,0.731721,199.001587,222.132956,0.906465,226.658532,269.023451,0.853534,205.643574,233.643682,0.893976,271.225158,296.018643,0.924972,90.148452,110.88822,0.93592,139.518303,168.379967,0.840749,111.588716,138.790862,0.837268,157.980419,201.864234,0.796023,271.639865,338.967059,0.813037,173.680741,159.70119,1.106553,138.990084,139.368151,1.032782,143.579668,122.956288,1.191811,142.863545,137.020311,1.069032,126.215032,129.011312,1.054256,127.456914,134.136315,0.997367,67.454209,64.159331,1.182958,126.878788,118.299901,1.095076,152.459852,187.888697,0.836318,201.807024,241.42566,0.845701,124.333042,138.44488,0.935812,106.194756,123.548625,0.915815,155.916893,192.809387,0.837661,106.620124,161.034006,0.713328,106.721467,133.958127,0.83217,130.476756,201.387541,0.658354,100.457446,138.547675,0.743301,129.733698,151.586865,0.869301,166.918871,207.101303,0.81853,146.633089,180.527416,0.821259,129.330588,129.471887,1.017837,108.860014,140.489632,0.795297,139.280892,157.432156,0.893845,170.612756,194.466489,0.888001,163.13408,155.904224,1.066703,94.258884,86.821046,1.179765,114.883554,153.736685,0.784995,116.443462,124.30786,0.967956,157.397661,182.997991,0.930179,130.442518,120.508792,1.135371,107.511828,118.278984,0.938803,100.512076,102.122558,1.00999,105.846063,108.153167,1.010223,113.917689,115.172972,1.150792,104.873367,115.54887,0.93762,80.59705,84.80289,0.994668
46.22,0,0,0,141.123254,121.614141,1.197608,177.522464,217.913374,0.837614,149.098242,151.083825,1.021529,147.123136,166.449673,0.900604,140.479583,173.275001,0.810726,165.842401,184.930292,0.9034,200.194405,253.265301,0.806226,197.253081,357.86334,0.559435,167.356102,232.489953,0.711958,177.937535,247.243623,0.724332,121.311872,141.974958,0.863493,114.533498,149.269348,0.782052,108.896012,146.752647,0.754554,172.566545,241.370314,0.728868,197.89788,222.995042,0.896675,225.535705,270.179638,0.845073,205.217726,234.527004,0.888484,270.198544,296.479129,0.919798,89.889613,111.842876,0.929629,138.922841,169.595744,0.830433,110.941488,139.837959,0.820843,157.972872,203.454734,0.788522,271.151804,339.509461,0.809696,173.226737,159.868967,1.104502,137.865799,139.568511,1.022498,143.207873,123.32506,1.184012,142.811672,137.295056,1.066516,126.095084,129.001285,1.051402,127.659706,134.312646,0.993464,67.56419,64.390092,1.173401,126.917302,118.501559,1.094825,152.96218,188.135197,0.839241,201.699104,241.902129,0.844288,123.699292,139.175143,0.920048,106.243228,124.146365,0.907497,154.733395,193.784156,0.827033,105.509313,162.392092,0.700918,106.854004,134.641413,0.829356,130.564133,202.23288,0.656122,101.332263,138.704838,0.746937,130.38423,151.588811,0.874411,167.636193,207.633404,0.820119,146.935721,180.552676,0.822445,129.242585,129.944332,1.014326,108.546525,141.092231,0.789199,138.840209,157.965397,0.887903,170.238246,195.150773,0.879699,162.62452,156.648373,1.057753,94.098089,87.204865,1.169212,115.59084,153.833634,0.792224,116.641294,125.114383,0.962065,157.614925,183.318786,0.924338,130.416627,121.180907,1.130269,107.43032,118.759347,0.934024,100.288595,102.428242,1.005692,105.426586,108.993186,0.995571,113.734093,115.473377,1.146064,104.82167,116.466749,0.92798,80.324157,85.10424,0.986249
48.22,0,0,0,139.934129,120.876871,1.202079,176.396542,217.103393,0.834157,147.459762,150.861472,1.017082,145.873456,166.520922,0.892275,139.575462,172.996438,0.807383,165.01251,184.532787,0.902045,198.458744,252.293584,0.801187,197.753976,352.939256,0.568439,166.480613,231.391851,0.71158,177.406153,245.976971,0.725477,119.61105,142.186778,0.851035,113.735634,149.187262,0.776541,108.040581,147.188891,0.746342,171.5223,240.808772,0.726681,195.906926,222.467892,0.890688,223.279296,269.774729,0.837913,203.655632,234.658375,0.881619,266.676543,295.394137,0.91117,89.161696,112.243947,0.923972,137.926758,169.601887,0.826029,109.659605,140.205464,0.810596,157.029778,204.119413,0.780258,269.585257,338.466393,0.812754,172.328776,159.538806,1.100909,135.438191,138.578075,1.01349,142.261658,123.143401,1.179398,141.684872,136.738462,1.061188,125.467396,128.490111,1.04682,127.136382,133.921581,0.995234,67.51855,64.262875,1.177214,126.488949,118.333045,1.092252,152.2285,187.565693,0.837163,201.039954,241.370649,0.841698,122.698568,139.222045,0.917545,105.805771,123.852405,0.906499,153.242741,194.06279,0.818661,104.070861,163.369138,0.688931,106.204608,134.601205,0.823283,129.561742,202.271436,0.650336,101.209771,138.280788,0.747811,129.500172,151.291456,0.870082,167.173319,206.838126,0.82103,146.298205,179.840938,0.822065,128.203015,129.278782,1.011472,107.976198,141.1099,0.78503,137.536953,157.654929,0.882305,169.307624,194.444228,0.878593,161.353637,156.924273,1.046558,93.616314,86.962613,1.167026,115.407848,153.443971,0.793541,116.055824,125.131056,0.956613,156.79125,182.950172,0.921406,129.726516,121.343757,1.123422,106.672247,118.6138,0.928122,99.730522,102.124679,1.001303,104.475884,109.012473,0.988236,113.072945,114.816114,1.144665,104.10018,116.531039,0.921168,79.766538,84.827827,0.983001
53.22,0,0,0,137.014146,121.585299,1.171512,172.877614,220.397372,0.806785,142.890753,153.91777,0.965207,141.506914,170.068365,0.847763,136.777494,176.477033,0.776949,161.039838,187.51693,0.867129,192.087391,256.803292,0.75955,197.615022,351.867246,0.568927,162.89976,233.035058,0.692614,174.740739,247.37304,0.711765,115.855436,146.795417,0.799596,111.165417,152.179597,0.746309,105.154968,152.08858,0.701602,168.629112,245.697339,0.699992,191.083527,226.010525,0.858868,217.220087,276.401382,0.796287,199.6113,239.798375,0.845247,259.93158,300.655891,0.873579,87.313739,115.899757,0.878666,135.313432,174.376677,0.788179,106.078117,144.572916,0.752475,154.689497,209.5697,0.749921,265.102153,345.265338,0.780425,169.268902,162.263038,1.062752,129.894254,139.867014,0.963964,139.533068,124.826224,1.143027,139.082531,138.558024,1.029624,123.101364,129.517307,1.02025,124.639765,135.285445,0.967447,66.671207,64.423656,1.168328,124.41339,119.543793,1.069462,149.361763,190.271688,0.810477,198.300476,245.32996,0.818471,119.823394,142.086419,0.874975,104.578661,125.033923,0.888005,148.513855,199.188092,0.776521,98.86555,169.494152,0.638153,103.945629,137.179714,0.793468,126.959169,207.062704,0.622081,100.202289,139.951994,0.731515,126.409223,153.788,0.836929,163.855199,210.357531,0.790692,143.168075,182.137652,0.794232,125.752949,131.130388,0.981805,104.815052,143.229879,0.750652,133.505051,160.383575,0.840306,166.348868,197.762095,0.850431,157.508712,160.928857,0.996958,91.852132,87.915087,1.136882,113.583726,155.927303,0.771494,114.233156,127.348991,0.923012,153.209781,186.371369,0.884991,127.224897,123.707386,1.086532,104.911213,120.597886,0.898019,97.745372,103.415186,0.970164,100.851307,112.31614,0.926609,111.043154,115.645366,1.134118,101.561653,119.80191,0.875683,77.723286,86.166014,0.940167
58.22,0,0,0,134.165315,123.303565,1.128253,168.85491,225.060822,0.770553,138.021052,159.177761,0.900531,136.220834,176.582256,0.785225,133.511868,181.68064,0.734073,155.97532,193.099327,0.815767,182.771298,266.015774,0.694803,196.041966,354.710397,0.558674,158.601736,235.423652,0.666984,170.952873,249.257466,0.690335,111.286084,153.451783,0.735208,108.331768,158.320127,0.696883,101.455139,160.49591,0.64033,164.780005,252.63253,0.662369,185.741503,230.950332,0.812402,210.07924,286.244137,0.742521,194.916209,248.700108,0.793707,251.456531,307.461616,0.825145,84.64288,121.975454,0.818243,132.066128,181.285978,0.739408,101.766386,151.496735,0.669535,151.265718,217.395135,0.706324,258.776451,354.258355,0.740274,165.387206,166.549148,1.009757,123.124716,143.108176,0.889477,136.177548,128.127907,1.08173,135.767998,142.291885,0.976186,120.690288,131.978827,0.971687,121.717803,138.575125,0.921792,65.434727,65.81738,1.114894,121.98735,122.548137,1.020197,144.978959,194.647997,0.767408,194.590833,250.12676,0.786237,116.493431,146.51271,0.823517,103.06081,127.250755,0.857851,143.231312,206.13921,0.723984,93.267325,177.750534,0.576181,100.856407,141.446299,0.748095,123.203132,214.324137,0.582145,98.062662,143.600118,0.695935,122.556745,158.822215,0.785692,157.745215,216.064321,0.739964,138.668885,186.768255,0.749959,122.703026,134.853072,0.92788,101.545706,146.868515,0.707844,128.919494,165.041768,0.786469,162.252859,203.401721,0.802629,152.564025,167.563842,0.926263,90.008039,90.007619,1.078561,110.291627,161.384333,0.71917,111.559704,131.096235,0.870446,148.015377,192.332403,0.83228,123.57253,128.287048,1.010705,102.257147,124.59552,0.842713,95.443442,105.61596,0.924105,96.750963,118.283226,0.845639,108.781874,117.154015,1.092605,98.305455,125.585799,0.800907,75.239204,89.187571,0.877478
63.22,0,0,0,130.374368,123.922888,1.093653,163.211326,228.728202,0.732968,132.247073,164.306147,0.833819,129.496223,184.162926,0.715231,128.844426,187.233155,0.683248,149.52842,198.921809,0.758636,171.61844,276.96292,0.624563,192.536635,356.955892,0.544303,153.565462,236.865294,0.642853,166.082546,249.930058,0.6684,105.844122,161.165642,0.665175,104.411124,163.997581,0.647203,96.838755,169.302771,0.578281,159.627526,259.260193,0.625226,179.731021,235.407176,0.768644,201.178333,296.843284,0.685412,188.4313,257.477906,0.741324,240.978219,313.454774,0.774487,81.380548,128.402837,0.752589,127.408675,188.620033,0.68435,96.782462,158.561145,0.600289,146.898544,225.10105,0.66283,251.100608,362.458344,0.702132,160.375597,170.627261,0.954525,115.437956,144.99706,0.821152,132.405297,130.38926,1.032386,131.299633,145.286068,0.923384,117.170667,133.957985,0.919898,118.189953,140.819524,0.879369,63.893795,66.149805,1.076222,118.730587,124.745772,0.971827,139.695916,198.817974,0.722043,189.675327,253.81837,0.754259,112.610114,151.027085,0.7703,100.848636,128.165282,0.832334,137.526631,212.915461,0.67578,87.260313,185.309768,0.521725,97.250206,145.616347,0.698914,118.782198,222.02724,0.541718,95.04895,146.689568,0.65993,117.764731,163.947623,0.731442,150.106353,222.57204,0.68232,132.9371,191.341619,0.701423,118.833578,138.292205,0.874489,97.287289,150.318407,0.661215,123.215796,169.324563,0.729967,156.992386,208.205948,0.757567,146.454861,174.744979,0.852709,87.656967,91.206527,1.03048,105.857866,167.212821,0.660379,108.032686,134.143495,0.819308,141.238188,199.089523,0.767505,118.854074,133.692812,0.931532,98.699477,128.361087,0.786764,92.865086,107.272999,0.884721,92.264413,124.34387,0.767034,106.095465,117.530943,1.077277,94.287132,131.736447,0.728684,72.117113,92.103776,0.813221
68.22,0,0,0,127.143533,128.18975,1.020312,157.657687,239.127756,0.676171,126.111033,175.374916,0.740419,122.438351,197.627869,0.629167,124.147137,197.804192,0.620693,142.855376,211.383546,0.680391,161.091378,294.813224,0.549614,188.629212,366.126654,0.5189,148.887625,242.678133,0.608549,161.057723,254.477078,0.636467,99.921429,175.407558,0.575846,100.766102,174.249491,0.586766,92.593051,182.807685,0.511072,155.080341,272.577702,0.576113,173.980059,246.274872,0.710962,192.329548,316.362027,0.614439,182.139458,273.654874,0.672339,230.592179,331.285418,0.701021,78.286485,138.587313,0.664068,123.344146,201.684875,0.619533,92.042502,169.662791,0.526013,142.735009,238.327262,0.606076,243.4322,379.841986,0.647444,155.189463,180.245389,0.871525,107.690562,151.88665,0.726225,128.513328,136.954929,0.948521,127.187208,153.186493,0.846757,113.905614,139.846209,0.844618,114.450193,147.006005,0.812855,62.158598,68.613652,0.991889,115.509664,130.847234,0.895488,134.081948,208.066106,0.658737,184.952062,264.5416,0.703871,108.749844,159.592938,0.69973,98.643252,132.263935,0.785736,131.897793,225.308415,0.612812,81.783034,196.077216,0.463248,93.385884,153.848252,0.633683,113.876254,234.912593,0.489839,91.45603,154.061317,0.60379,112.626492,174.638249,0.657149,141.8602,235.183226,0.609123,126.601848,201.91083,0.632413,114.436946,146.388094,0.794914,92.797079,158.282128,0.597541,117.922524,178.788691,0.660518,151.718529,219.412305,0.69214,140.308905,188.679352,0.755847,85.347139,95.589277,0.947513,100.817233,178.317397,0.582444,104.091701,141.458312,0.743143,134.376258,211.957407,0.69074,113.632001,144.701532,0.817788,95.000893,136.805668,0.706223,89.98473,112.011307,0.818805,87.809711,134.297446,0.676736,103.651121,120.932794,1.022314,90.329923,142.459809,0.641457,69.312047,98.222256,0.729143
73.22,0,0,0,124.079065,133.745155,0.953413,151.92167,251.437235,0.62002,119.887308,188.7957,0.650062,115.634017,213.367318,0.549551,119.36683,209.486332,0.561402,136.100115,226.237132,0.6046,152.262586,312.380941,0.489882,184.679244,376.097643,0.493858,144.045023,249.511034,0.573012,155.665841,259.935954,0.602075,94.633393,190.788237,0.502853,97.083044,185.041702,0.531302,88.191871,196.613912,0.451901,150.055074,286.441111,0.530752,167.840992,259.238491,0.650444,183.550164,337.967592,0.548543,175.665993,292.273899,0.606007,220.456845,355.369719,0.623827,75.338441,149.290154,0.599511,118.977623,216.348345,0.555864,87.730862,180.590678,0.466925,138.365955,252.693238,0.553642,236.575929,398.387906,0.598713,149.908922,191.804467,0.789085,100.434624,159.302971,0.645819,124.413944,145.19226,0.8621,123.020025,162.25124,0.771253,110.709918,146.245001,0.773279,110.769538,153.358868,0.753836,60.277228,70.930275,0.92153,111.855318,138.563703,0.815783,128.317767,218.387271,0.598882,179.855592,278.343511,0.649134,104.876773,169.003079,0.633869,96.152218,137.03267,0.731886,126.597496,238.3918,0.556245,76.989934,205.568026,0.414782,89.574337,163.281005,0.572242,109.18575,247.827345,0.44437,87.983408,161.513453,0.553791,107.214736,187.30824,0.58341,133.895787,249.555569,0.541199,120.533703,214.129056,0.56738,109.947914,156.314793,0.714817,88.157776,166.739033,0.538016,112.66994,188.411882,0.597727,146.06173,232.697497,0.625774,133.703553,204.399515,0.663751,82.823452,100.602394,0.866478,95.527717,190.5401,0.510777,100.030515,149.981264,0.670471,128.071408,225.492089,0.620204,107.990147,160.164952,0.701356,91.06604,146.943307,0.626639,87.338486,117.387583,0.75812,83.750074,144.315489,0.601375,101.684426,124.586833,0.974517,86.398279,153.669377,0.566329,66.159207,105.251823,0.64701
78.22,0,0,0,118.351234,138.95506,0.869944,143.640833,263.746365,0.557638,112.29208,202.043093,0.570303,107.13435,228.487479,0.47517,112.899396,220.795755,0.502655,127.272443,240.79603,0.530753,142.498574,326.0233,0.439051,177.659282,384.158463,0.4644,137.284836,255.237051,0.534465,147.96223,263.517197,0.563928,87.544139,204.990523,0.432521,91.748377,195.476538,0.473913,82.718788,208.228204,0.399577,142.947551,298.785747,0.483593,159.020724,272.131565,0.584863,172.658532,358.347604,0.485756,166.629278,309.699603,0.540762,205.75193,381.787961,0.541829,70.908723,158.267041,0.535597,112.408894,230.694528,0.491434,81.968795,189.532587,0.413628,131.661707,265.306056,0.50172,225.963168,414.190022,0.549303,141.750634,203.367847,0.702249,91.059066,165.704868,0.561615,118.085436,153.503134,0.773604,116.518881,171.379899,0.689839,105.301816,152.508585,0.695419,105.232725,159.323311,0.687558,57.062047,72.642294,0.851773,105.916196,146.642982,0.727948,120.748508,227.8435,0.53787,171.644373,292.11699,0.589068,99.198627,177.684151,0.568188,91.661758,141.668934,0.671845,119.188198,250.145769,0.497682,71.59213,212.043894,0.371626,84.06323,171.548311,0.511401,103.01292,258.711007,0.401315,83.038777,168.160042,0.502149,100.093179,199.118131,0.512448,124.516688,261.44258,0.48049,112.346062,225.25662,0.502347,103.575616,166.704864,0.630772,82.37533,174.14797,0.481105,105.696415,197.011088,0.535662,138.543037,245.414115,0.56218,125.251682,219.324917,0.578687,78.375551,105.449944,0.777983,89.135266,200.901636,0.447963,94.185812,158.017728,0.597476,120.069826,237.246471,0.5519,99.954897,176.139041,0.591464,85.297016,156.293674,0.54997,82.71376,122.397258,0.688948,78.822777,151.476803,0.539269,97.495752,126.555882,0.93383,81.031672,162.48318,0.500126,61.777374,111.581491,0.568078
